time,raw,threshold,reached,profile,capacity,current_ma,status
09:19:55,90,90,0,2,88,2346,Charging
09:19:55,90,90,0,2,88,2346,Charging
09:19:56,90,90,0,2,88,2346,Charging
09:19:56,90,90,0,2,88,2346,Charging
09:19:57,90,90,0,2,88,2346,Charging
09:19:57,90,90,0,2,88,2346,Charging
09:19:58,90,90,0,2,88,2346,Charging
09:19:58,90,90,0,2,88,2346,Charging
09:19:59,90,90,0,2,88,2346,Charging
09:19:59,90,90,0,2,88,2346,Charging
09:20:00,90,90,0,2,88,2346,Charging
09:20:00,90,90,0,2,88,2346,Charging
09:20:01,90,90,0,2,88,2346,Charging
09:20:01,90,90,0,2,88,2346,Charging
09:20:02,90,90,0,2,88,2346,Charging
09:20:02,90,90,0,2,88,2346,Charging
09:20:03,90,90,0,2,88,2346,Charging
09:20:03,90,90,0,2,88,2346,Charging
09:20:04,90,90,0,2,88,2346,Charging
09:20:04,90,90,0,2,88,2346,Charging
09:20:05,90,90,0,2,88,2346,Charging
09:20:05,90,90,0,2,88,2346,Charging
09:20:06,90,90,0,2,88,2346,Charging
09:20:06,90,90,0,2,88,2312,Charging
09:20:07,90,90,0,2,88,2312,Charging
09:20:07,90,90,0,2,88,2312,Charging
09:20:08,90,90,0,2,88,2312,Charging
09:20:08,90,90,0,2,88,2312,Charging
09:20:09,90,90,0,2,88,2312,Charging
09:20:09,90,90,0,2,88,2312,Charging
09:20:10,90,90,0,2,88,2312,Charging
09:20:10,90,90,0,2,88,2312,Charging
09:20:11,90,90,0,2,88,2312,Charging
09:20:11,90,90,0,2,88,2312,Charging
09:20:12,90,90,0,2,88,2312,Charging
09:20:12,90,90,0,2,88,2312,Charging
09:20:13,90,90,0,2,88,2312,Charging
09:20:13,90,90,0,2,88,2312,Charging
09:20:14,90,90,0,2,88,2312,Charging
09:20:14,90,90,0,2,88,2312,Charging
09:20:15,90,90,0,2,88,2312,Charging
09:20:15,90,90,0,2,88,2312,Charging
09:20:16,90,90,0,2,88,2312,Charging
09:20:16,90,90,0,2,88,2312,Charging
09:20:17,90,90,0,2,88,2312,Charging
09:20:17,90,90,0,2,88,2312,Charging
09:20:18,90,90,0,2,88,2312,Charging
09:20:18,90,90,0,2,88,2312,Charging
09:20:19,90,90,0,2,88,2312,Charging
09:20:19,90,90,0,2,88,2312,Charging
09:20:20,90,90,0,2,88,2312,Charging
09:20:20,90,90,0,2,88,2312,Charging
09:20:21,90,90,0,2,88,2312,Charging
09:20:21,90,90,0,2,88,2312,Charging
09:20:22,90,90,0,2,88,2312,Charging
09:20:22,90,90,0,2,88,2312,Charging
09:20:23,90,90,0,2,88,2312,Charging
09:20:23,90,90,0,2,88,2278,Charging
09:20:24,90,90,0,2,88,2278,Charging
09:20:24,90,90,0,2,88,2278,Charging
